player_id,name,team,age,nationality,photo,primary_position,detailed_position,position_group,position_confidence,minutes,rating,possession_control,passing_control,chance_creation,attacking_pressure,directness,shooting_efficiency
532,M. de Ligt,Manchester United,26.0,Netherlands,https://media.api-sports.io/football/players/532.png,CB,CB,CB,100.0,1170,6.93,37.2,39.9,39.1,67.5,52.9,67.9
537,J. Veltman,Brighton,33.0,Netherlands,https://media.api-sports.io/football/players/537.png,RB,RB,FB,100.0,1073,6.84,41.1,32.0,16.4,34.4,11.2,66.0
542,R. Gravenberch,Liverpool,23.0,Netherlands,https://media.api-sports.io/football/players/542.png,CDM,CDM,DM,94.1,2996,7.06,77.9,63.6,58.9,78.2,67.6,81.9
545,N. Mazraoui,Manchester United,28.0,Morocco,https://media.api-sports.io/football/players/545.png,RWB,RWB,FB,36.4,1022,6.89,80.5,62.4,39.1,28.6,40.4,16.0
567,Rúben Dias,Manchester City,28.0,Portugal,https://media.api-sports.io/football/players/567.png,CB,CB,CB,100.0,2161,7.17,72.1,76.2,50.8,52.5,50.4,78.3
575,Florentino,Burnley,26.0,Portugal,https://media.api-sports.io/football/players/575.png,CM,CM,CM,60.0,2118,6.68,38.8,44.4,27.2,18.2,26.3,12.8
626,J. Stones,Manchester City,31.0,England,https://media.api-sports.io/football/players/626.png,CB,CB,CB,100.0,449,6.5,70.4,54.9,40.1,26.7,36.2,16.6
627,K. Walker,Burnley,35.0,England,https://media.api-sports.io/football/players/627.png,RB,RB,FB,45.7,3097,6.61,55.0,49.6,25.6,16.1,16.6,16.0
631,P. Foden,Manchester City,25.0,England,https://media.api-sports.io/football/players/631.png,CM,CM,CM,56.5,2119,7.01,79.8,87.1,92.0,96.0,95.0,88.5
636,Bernardo Silva,Manchester City,31.0,Portugal,https://media.api-sports.io/football/players/636.png,CM,CM,CM,70.6,2890,6.85,75.4,89.3,70.9,39.5,62.6,40.5
641,O. Zinchenko,Nottingham Forest,29.0,Ukraine,https://media.api-sports.io/football/players/641.png,LB,LB,FB,75.0,353,6.72,74.6,86.2,51.3,57.3,49.9,72.2
643,Gabriel Jesus,Arsenal,28.0,Brazil,https://media.api-sports.io/football/players/643.png,ST,ST,FW,100.0,421,6.59,79.8,66.1,44.7,97.1,82.7,96.3
657,K. Tete,Fulham,30.0,Netherlands,https://media.api-sports.io/football/players/657.png,RB,RB,FB,100.0,1802,6.93,60.3,53.7,32.5,55.1,49.0,49.0
671,B. Traoré,Sunderland,30.0,Burkina Faso,https://media.api-sports.io/football/players/671.png,RW,RW,W,55.6,638,6.76,56.2,34.3,39.2,64.6,48.6,77.1
723,Joelinton,Newcastle,29.0,Brazil,https://media.api-sports.io/football/players/723.png,CM,CM,CM,82.6,1953,6.8,45.6,36.3,49.1,71.3,62.7,65.2
747,Casemiro,Manchester United,33.0,Brazil,https://media.api-sports.io/football/players/747.png,CDM,CDM,DM,54.5,2593,7.19,52.4,68.6,56.2,78.7,56.3,87.8
792,J. Kluivert,Bournemouth,26.0,Netherlands,https://media.api-sports.io/football/players/792.png,CAM,CAM,AM,100.0,951,6.54,46.4,53.9,55.0,42.4,59.9,30.1
833,J. Bijol,Leeds,26.0,Slovenia,https://media.api-sports.io/football/players/833.png,CB,CB,CB,100.0,1913,6.93,45.2,52.2,62.8,66.5,50.6,79.8
863,R. Bentancur,Tottenham,28.0,Uruguay,https://media.api-sports.io/football/players/863.png,CDM,CDM,DM,73.9,1892,6.76,56.7,34.9,37.2,38.2,43.3,33.0
886,Diogo Dalot,Manchester United,26.0,Portugal,https://media.api-sports.io/football/players/886.png,RB,RB,FB,55.2,2617,6.86,64.7,59.4,66.6,69.7,61.9,49.2
889,V. Lindelöf,Aston Villa,31.0,Sweden,https://media.api-sports.io/football/players/889.png,CB,CB,CB,81.8,985,6.67,41.6,57.1,37.6,21.0,19.7,16.6
891,L. Shaw,Manchester United,30.0,England,https://media.api-sports.io/football/players/891.png,LB,LB,FB,52.6,3231,6.71,67.4,58.3,25.3,30.7,16.5,57.4
895,J. Garner,Everton,24.0,England,https://media.api-sports.io/football/players/895.png,CDM,CDM,DM,78.9,3426,7.24,50.5,55.5,80.4,66.8,67.1,55.4
896,A. Gomes,Wolves,25.0,England,https://media.api-sports.io/football/players/896.png,CM,CM,CM,42.9,488,6.74,41.8,31.2,51.5,62.0,66.3,27.9
978,K. Havertz,Arsenal,26.0,Germany,https://media.api-sports.io/football/players/978.png,ST,ST,FW,57.1,583,6.68,79.6,95.5,83.6,35.3,46.2,20.4
983,L. Bailey,Aston Villa,28.0,Jamaica,https://media.api-sports.io/football/players/983.png,RW,RW,W,100.0,478,6.61,32.7,62.9,68.9,19.8,69.0,7.9
1096,D. Szoboszlai,Liverpool,25.0,Hungary,https://media.api-sports.io/football/players/1096.png,CAM,CAM,AM,38.9,3244,7.19,83.2,94.2,77.1,47.2,48.8,50.9
1100,E. Haaland,Manchester City,25.0,Norway,https://media.api-sports.io/football/players/1100.png,ST,ST,FW,100.0,2958,7.31,40.0,35.1,69.3,85.4,56.1,88.2
1119,K. Ajer,Brentford,27.0,Norway,https://media.api-sports.io/football/players/1119.png,CB,CB,CB,75.0,1820,6.66,16.9,21.2,44.0,46.5,57.5,43.3
1125,R. Christie,Bournemouth,30.0,Scotland,https://media.api-sports.io/football/players/1125.png,CDM,CDM,DM,100.0,986,6.72,54.0,48.6,53.3,95.8,88.8,87.6
