player_id,name,primary_position,primary_starts,secondary_position,secondary_starts,total_starts,position_confidence,unknown_starts,position_history
270508,L. Ugochukwu,CM,15,CAM,6,27,55.6,0,CM:15 | CAM:6 | CDM:5 | RM:1
328105,L. Miley,CM,8,RB,7,15,53.3,0,CM:8 | RB:7
2938,J. Ward-Prowse,CM,6,CDM,6,12,50.0,0,CM:6 | CDM:6
47311,M. Merino,CM,5,ST,5,10,50.0,0,CM:5 | ST:5
51494,M. Ugarte,CM,4,CDM,4,8,50.0,0,CM:4 | CDM:4
327631,H. Diarra,CM,7,CAM,7,15,46.7,0,CM:7 | CAM:7 | RM:1
67972,C. Gallagher,CM,6,CAM,5,14,42.9,0,CM:6 | CAM:5 | CDM:2 | RM:1
896,A. Gomes,CM,3,CAM,3,7,42.9,0,CM:3 | CAM:3 | CDM:1
20665,J. Bellegarde,CM,6,CAM,6,15,40.0,0,CM:6 | CAM:6 | LW:3
280,Alisson,GK,26,,0,26,100.0,0,GK:26
118307,D. Petrovic,GK,38,,0,38,100.0,0,GK:38
36878,M. Bizot,GK,6,,0,6,100.0,0,GK:6
18911,N. Pope,GK,27,,0,27,100.0,0,GK:27
129058,B. Verbruggen,GK,38,,0,38,100.0,0,GK:38
1438,B. Leno,GK,38,,0,38,100.0,0,GK:38
2919,M. Sels,GK,30,,0,30,100.0,0,GK:30
281,C. Kelleher,GK,37,,0,37,100.0,0,GK:37
194536,R. Roefs,GK,35,,0,35,100.0,0,GK:35
15870,M. Hermansen,GK,18,,0,18,100.0,0,GK:18
31354,G. Vicario,GK,31,,0,31,100.0,0,GK:31
18886,M. Dubravka,GK,35,,0,35,100.0,0,GK:35
1590,J. Sa,GK,23,,0,23,100.0,0,GK:23
162489,J. Trafford,GK,4,,0,4,100.0,0,GK:4
18959,R. Sanchez,GK,35,,0,35,100.0,0,GK:35
19088,D. Henderson,GK,37,,0,37,100.0,0,GK:37
50132,A. Bayindir,GK,6,,0,6,100.0,0,GK:6
19465,D. Raya,GK,37,,0,37,100.0,0,GK:37
80296,Lucas Perri,GK,16,,0,16,100.0,0,GK:16
2932,J. Pickford,GK,38,,0,38,100.0,0,GK:38
19599,E. Martinez,GK,32,,0,32,100.0,0,GK:32
18885,K. Darlow,GK,22,,0,22,100.0,0,GK:22
1622,G. Donnarumma,GK,34,,0,34,100.0,0,GK:34
19143,S. Johnstone,GK,12,,0,12,100.0,0,GK:12
253,A. Areola,GK,20,,0,20,100.0,0,GK:20
