api_football_player_id,player_name,player_full_name,current_team,league,transfermarkt_player_id,transfermarkt_name,transfermarkt_club,market_value_eur,market_value_m_eur,valuation_date,transfermarkt_url,match_confidence,match_score,match_margin,match_method,source
8959,A. Beck,Adrian Beck,1. FC Heidenheim,Bundesliga,273669,Adrian Beck,1. Fußballclub Heidenheim 1846,1500000,1.5,2026-05-27,https://www.transfermarkt.co.uk/adrian-beck/profil/spieler/273669,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
327897,A. Ibrahimović,Arijon Ibrahimović,1. FC Heidenheim,Bundesliga,744728,Arijon Ibrahimovic,1. Fußballclub Heidenheim 1846,10000000,10.0,2026-05-27,https://www.transfermarkt.co.uk/arijon-ibrahimovic/profil/spieler/744728,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
25203,B. Gimber,Benedikt Steffen Gimber,1. FC Heidenheim,Bundesliga,227084,Benedikt Gimber,1. Fußballclub Heidenheim 1846,1500000,1.5,2026-05-27,https://www.transfermarkt.co.uk/benedikt-gimber/profil/spieler/227084,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
24641,B. Zivzivadze,Budu Zivzivadze,1. FC Heidenheim,Bundesliga,187097,Budu Zivzivadze,1. Fußballclub Heidenheim 1846,1200000,1.2,2026-05-27,https://www.transfermarkt.co.uk/budu-zivzivadze/profil/spieler/187097,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
64302,C. Conteh,Christian Joe Conteh,1. FC Heidenheim,Bundesliga,530298,Christian Conteh,1. Fußballclub Heidenheim 1846,1500000,1.5,2026-05-27,https://www.transfermarkt.co.uk/christian-conteh/profil/spieler/530298,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
202526,E. Dinkçi,Eren Sami Dinkçi,1. FC Heidenheim,Bundesliga,645774,Eren Dinkçi,SC Freiburg,6000000,6.0,2026-05-27,https://www.transfermarkt.co.uk/eren-dinkci/profil/spieler/645774,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
353143,Hennes Behrens,Hennes Behrens,1. FC Heidenheim,Bundesliga,829838,Hennes Behrens,1. Fußballclub Heidenheim 1846,5000000,5.0,2026-05-27,https://www.transfermarkt.co.uk/hennes-behrens/profil/spieler/829838,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
24979,J. Föhrenbach,Jonas Föhrenbach,1. FC Heidenheim,Bundesliga,192169,Jonas Föhrenbach,1. Fußballclub Heidenheim 1846,1000000,1.0,2026-05-27,https://www.transfermarkt.co.uk/jonas-fohrenbach/profil/spieler/192169,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
203011,J. Niehues,Julian Niehues,1. FC Heidenheim,Bundesliga,530173,Julian Niehues,1. Fußballclub Heidenheim 1846,1500000,1.5,2026-05-27,https://www.transfermarkt.co.uk/julian-niehues/profil/spieler/530173,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
127619,J. Schöppner,Jan Schöppner,1. FC Heidenheim,Bundesliga,581357,Jan Schöppner,1. Fußballclub Heidenheim 1846,3000000,3.0,2026-05-27,https://www.transfermarkt.co.uk/jan-schoppner/profil/spieler/581357,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
280055,L. Kerber,Luca Kerber,1. FC Heidenheim,Bundesliga,809498,Luca Kerber,1. Fußballclub Heidenheim 1846,2000000,2.0,2026-05-27,https://www.transfermarkt.co.uk/luca-kerber/profil/spieler/809498,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
24897,M. Busch,Marnon-Thomas Busch,1. FC Heidenheim,Bundesliga,117478,Marnon Busch,1. Fußballclub Heidenheim 1846,1000000,1.0,2026-05-27,https://www.transfermarkt.co.uk/marnon-busch/profil/spieler/117478,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
