player_id,name,primary_position,primary_starts,secondary_position,secondary_starts,total_starts,position_confidence,unknown_starts,position_history,position_source,broad_position
319517,A. Milambo,CAM,1,,0,1,100.0,0,CAM:1,lineup_history,Midfielder
1468,E. Nketiah,CAM,2,,0,2,100.0,0,CAM:2,lineup_history,Attacker
311334,F. Buonanotte,CAM,1,,0,1,100.0,0,CAM:1,lineup_history,Midfielder
19035,H. Elliott,CAM,1,,0,1,100.0,0,CAM:1,lineup_history,Midfielder
792,J. Kluivert,CAM,10,,0,10,100.0,0,CAM:10,lineup_history,Attacker
442044,M. Dowman,CAM,1,,0,1,100.0,0,CAM:1,lineup_history,Midfielder
19030,M. O&apos;Riley,CAM,2,,0,2,100.0,0,CAM:2,lineup_history,Midfielder
1161,E. Smith Rowe,CAM,21,LW,1,22,95.5,0,CAM:21 | LW:1,lineup_history,Midfielder
389315,Joshua King,CAM,14,ST,1,15,93.3,0,CAM:14 | ST:1,lineup_history,Midfielder
2218,I. Sarr,CAM,22,RW,2,24,91.7,0,CAM:22 | RW:2,lineup_history,Attacker
148099,K. Dewsbury-Hall,CAM,27,CDM,2,30,90.0,0,CAM:27 | CDM:2 | LW:1,lineup_history,Midfielder
301187,Pablo,CAM,9,LW,1,10,90.0,0,CAM:9 | LW:1,lineup_history,Attacker
19220,M. Mount,CAM,10,CDM,2,12,83.3,0,CAM:10 | CDM:2,lineup_history,Attacker
184226,Yeremy Pino,CAM,21,LW,3,26,80.8,0,CAM:21 | LW:3 | ST:1 | LM:1,lineup_history,Midfielder
15908,M. Damsgaard,CAM,19,CM,3,24,79.2,0,CAM:19 | CM:3 | LM:1 | LW:1,lineup_history,Midfielder
18746,M. Gibbs-White,CAM,27,LM,3,35,77.1,0,CAM:27 | LM:3 | ST:2 | RW:1 | CM:1 | LW:1,lineup_history,Midfielder
24798,C. Führich,CAM,0,W,0,0,72.0,0,,statistical_fallback,Midfielder
660571,M. Soares,CAM,0,CM,0,0,71.6,0,,statistical_fallback,Midfielder
368030,E. Kroupi,CAM,15,ST,6,21,71.4,0,CAM:15 | ST:6,lineup_history,Attacker
2287,R. Barkley,CAM,5,CDM,2,7,71.4,0,CAM:5 | CDM:2,lineup_history,Midfielder
629,K. De Bruyne,CAM,0,CM,0,0,70.2,0,,statistical_fallback,Midfielder
26475,D. Undav,CAM,0,CM,0,0,69.7,0,,statistical_fallback,Midfielder
726,A. Kramarić,CAM,0,CM,0,0,69.4,0,,statistical_fallback,Midfielder
510,S. Gnabry,CAM,0,W,0,0,69.0,0,,statistical_fallback,Midfielder
24910,T. Skarke,CAM,0,CM,0,0,68.9,0,,statistical_fallback,Midfielder
927,Lee Kang-In,CAM,0,W,0,0,68.3,0,,statistical_fallback,Midfielder
25635,J. Hofmann,CAM,0,CM,0,0,68.2,0,,statistical_fallback,Midfielder
22003,M. Cafaro,CAM,0,CM,0,0,68.2,0,,statistical_fallback,Midfielder
725,R. Hack,CAM,0,CM,0,0,68.1,0,,statistical_fallback,Midfielder
2489,L. Díaz,CAM,0,W,0,0,67.8,0,,statistical_fallback,Midfielder
20529,G. Hein,CAM,0,CM,0,0,67.5,0,,statistical_fallback,Midfielder
19617,M. Olise,CAM,0,W,0,0,67.1,0,,statistical_fallback,Midfielder
47543,Álvaro García,CAM,0,CM,0,0,67.1,0,,statistical_fallback,Midfielder
83831,I. Kebbal,CAM,0,W,0,0,66.9,0,,statistical_fallback,Midfielder
195993,C. Alcaraz,CAM,4,RW,1,6,66.7,0,CAM:4 | RW:1 | LW:1,lineup_history,Midfielder
328262,M. Damar,CAM,0,CM,0,0,66.7,0,,statistical_fallback,Midfielder
178749,L. Samardžić,CAM,0,W,0,0,66.6,0,,statistical_fallback,Midfielder
67889,H. Haraldsson,CAM,0,CM,0,0,66.5,0,,statistical_fallback,Midfielder
26248,V. Grifo,CAM,0,CM,0,0,66.5,0,,statistical_fallback,Midfielder
24803,F. Kainz,CAM,0,CM,0,0,66.4,0,,statistical_fallback,Midfielder
662,T. Ndombélé,CAM,0,CM,0,0,66.4,0,,statistical_fallback,Midfielder
339887,C. Uzun,CAM,0,W,0,0,66.3,0,,statistical_fallback,Midfielder
24743,Z. Davitashvili,CAM,0,CM,0,0,66.0,0,,statistical_fallback,Midfielder
1323,Dani Olmo,CAM,0,W,0,0,65.7,0,,statistical_fallback,Midfielder
328035,M. Baur,CAM,0,CM,0,0,65.7,0,,statistical_fallback,Midfielder
1578,G. Lo Celso,CAM,0,W,0,0,65.6,0,,statistical_fallback,Midfielder
226803,S. Nanasi,CAM,0,CM,0,0,65.2,0,,statistical_fallback,Midfielder
15916,A. Skov Olsen,CAM,0,CM,0,0,65.1,0,,statistical_fallback,Midfielder
31010,F. Dimarco,CAM,0,CM,0,0,64.8,0,,statistical_fallback,Midfielder
1101,T. Minamino,CAM,0,CM,0,0,64.8,0,,statistical_fallback,Midfielder
340573,B. El Khannouss,CAM,0,CM,0,0,64.7,0,,statistical_fallback,Midfielder
291964,A. Güler,CAM,0,W,0,0,64.5,0,,statistical_fallback,Midfielder
47349,Javi Puado,CAM,0,CM,0,0,64.0,0,,statistical_fallback,Midfielder
328,Fabián Ruiz,CAM,0,CM,0,0,63.7,0,,statistical_fallback,Midfielder
563,Álex Grimaldo,CAM,0,W,0,0,63.7,0,,statistical_fallback,Midfielder
181808,F. Miretti,CAM,0,W,0,0,63.6,0,,statistical_fallback,Midfielder
295026,M. Baturina,CAM,0,W,0,0,63.5,0,,statistical_fallback,Midfielder
456206,M. Mane,CAM,12,CM,6,19,63.2,0,CAM:12 | CM:6 | ST:1,lineup_history,Attacker
156477,R. Cherki,CAM,12,CM,2,19,63.2,0,CAM:12 | CM:2 | LM:2 | RM:2 | RW:1,lineup_history,Midfielder
174,C. Eriksen,CAM,0,CM,0,0,63.1,0,,statistical_fallback,Midfielder
203224,F. Wirtz,CAM,17,LW,6,27,63.0,0,CAM:17 | LW:6 | ST:2 | RW:1 | CM:1,lineup_history,Midfielder
268960,A. Zakharyan,CAM,0,CM,0,0,62.8,0,,statistical_fallback,Midfielder
20784,F. Honorat,CAM,0,CM,0,0,62.8,0,,statistical_fallback,Midfielder
756,F. Valverde,CAM,0,CM,0,0,62.8,0,,statistical_fallback,Midfielder
1697,Pablo Fornals,CAM,0,CM,0,0,62.8,0,,statistical_fallback,Midfielder
1640,H. Çalhanoğlu,CAM,0,CM,0,0,62.7,0,,statistical_fallback,Midfielder
327592,L. Doucet,CAM,0,CM,0,0,62.7,0,,statistical_fallback,Midfielder
1938,R. Malinovskyi,CAM,0,CM,0,0,62.7,0,,statistical_fallback,Midfielder
40560,J. Kamiński,CAM,0,CM,0,0,62.6,0,,statistical_fallback,Midfielder
714,N. Amiri,CAM,0,W,0,0,62.6,0,,statistical_fallback,Midfielder
332308,Unai Gómez,CAM,0,CM,0,0,62.6,0,,statistical_fallback,Midfielder
328225,B. Gruda,CAM,5,RW,3,8,62.5,0,CAM:5 | RW:3,lineup_history,Midfielder
152982,C. Palmer,CAM,15,RW,7,24,62.5,0,CAM:15 | RW:7 | CM:1 | LW:1,lineup_history,Midfielder
745,Isco,CAM,0,CM,0,0,62.5,0,,statistical_fallback,Midfielder
25380,L. Maina,CAM,0,CM,0,0,62.5,0,,statistical_fallback,Midfielder
30542,J. Odgaard,CAM,0,CM,0,0,62.4,0,,statistical_fallback,Midfielder
2763,Mario Pasalic,CAM,0,CM,0,0,62.4,0,,statistical_fallback,Midfielder
276670,F. Chaïbi,CAM,0,CM,0,0,62.3,0,,statistical_fallback,Midfielder
8586,M. Vojvoda,CAM,0,CM,0,0,62.3,0,,statistical_fallback,Midfielder
26,M. Wolf,CAM,0,CM,0,0,62.2,0,,statistical_fallback,Midfielder
2286,D. Zappacosta,CAM,0,CM,0,0,62.1,0,,statistical_fallback,Midfielder
335071,M. Berisha,CAM,0,CM,0,0,62.1,0,,statistical_fallback,Midfielder
22254,Y. Fofana,CAM,0,CM,0,0,62.1,0,,statistical_fallback,Midfielder
715,C. Baumgartner,CAM,0,CM,0,0,62.0,0,,statistical_fallback,Midfielder
930,Carlos Soler,CAM,0,CM,0,0,61.9,0,,statistical_fallback,Midfielder
502,J. Kimmich,CAM,0,CM,0,0,61.9,0,,statistical_fallback,Midfielder
1266,T. Bašić,CAM,0,CM,0,0,61.9,0,,statistical_fallback,Midfielder
339872,Vasilije Adžić,CAM,0,CM,0,0,61.9,0,,statistical_fallback,Midfielder
1358,E. Elmas,CAM,0,CM,0,0,61.8,0,,statistical_fallback,Midfielder
329,P. Zieliński,CAM,0,CM,0,0,61.8,0,,statistical_fallback,Midfielder
181218,Álex Sala,CAM,0,CM,0,0,61.8,0,,statistical_fallback,Midfielder
1153,A. Haidara,CAM,0,CM,0,0,61.7,0,,statistical_fallback,Midfielder
177807,J. Njinmah,CAM,0,CM,0,0,61.7,0,,statistical_fallback,Midfielder
782,L. Pellegrini,CAM,0,CM,0,0,61.7,0,,statistical_fallback,Midfielder
47557,Ó. Trejo,CAM,0,CM,0,0,61.7,0,,statistical_fallback,Midfielder
182770,Carlos Álvarez,CAM,0,CM,0,0,61.5,0,,statistical_fallback,Midfielder
128398,Oihan Sancet,CAM,0,CM,0,0,61.5,0,,statistical_fallback,Midfielder
128384,Vitinha,CAM,0,CM,0,0,61.5,0,,statistical_fallback,Midfielder
1321,L. Majer,CAM,0,CM,0,0,61.4,0,,statistical_fallback,Midfielder
1910,M. Lopez,CAM,0,CM,0,0,61.4,0,,statistical_fallback,Midfielder
162266,L. da Cunha,CAM,0,CM,0,0,61.3,0,,statistical_fallback,Midfielder
47516,Aleix García,CAM,0,CM,0,0,61.2,0,,statistical_fallback,Midfielder
415,W. McKennie,CAM,0,CM,0,0,61.1,0,,statistical_fallback,Midfielder
109,A. Golovin,CAM,0,CM,0,0,60.9,0,,statistical_fallback,Midfielder
31211,J. Vandeputte,CAM,0,CM,0,0,60.9,0,,statistical_fallback,Midfielder
501906,W. Mohya,CAM,0,CM,0,0,60.8,0,,statistical_fallback,Midfielder
364415,Jesús Santiago,CAM,0,W,0,0,60.7,0,,statistical_fallback,Midfielder
757,Lucas Vázquez,CAM,0,CM,0,0,60.7,0,,statistical_fallback,Midfielder
325,G. Gaetano,CAM,0,CM,0,0,60.6,0,,statistical_fallback,Midfielder
31056,S. Ricci,CAM,0,CM,0,0,60.5,0,,statistical_fallback,Midfielder
46799,Edu Expósito,CAM,0,CM,0,0,60.4,0,,statistical_fallback,Midfielder
1821,F. Kostić,CAM,0,CM,0,0,60.4,0,,statistical_fallback,Midfielder
2762,J. Brekalo,CAM,0,CM,0,0,60.4,0,,statistical_fallback,Midfielder
47398,Pere Milla,CAM,0,CM,0,0,60.4,0,,statistical_fallback,Midfielder
36910,C. Stengs,CAM,0,CM,0,0,60.1,0,,statistical_fallback,Midfielder
30810,R. Mandragora,CAM,0,CM,0,0,60.1,0,,statistical_fallback,Midfielder
143,Carles Aleñá,CAM,0,CM,0,0,60.0,0,,statistical_fallback,Midfielder
180560,H. Mejbri,CAM,9,CM,5,15,60.0,0,CAM:9 | CM:5 | RM:1,lineup_history,Midfielder
2735,P. Højbjerg,CAM,0,CM,0,0,60.0,0,,statistical_fallback,Midfielder
40403,S. Szymański,CAM,0,CM,0,0,60.0,0,,statistical_fallback,Midfielder
215,S. Esposito,CAM,0,CM,0,0,59.9,0,,statistical_fallback,Midfielder
519,C. Tolisso,CAM,0,CM,0,0,59.8,0,,statistical_fallback,Midfielder
46887,Pedro Díaz,CAM,0,CM,0,0,59.8,0,,statistical_fallback,Midfielder
325975,T. Bischof,CAM,0,CM,0,0,59.8,0,,statistical_fallback,Midfielder
142442,Rui Modesto,CAM,0,CM,0,0,59.7,0,,statistical_fallback,Midfielder
354298,T. Nnadi,CAM,0,CM,0,0,59.7,0,,statistical_fallback,Midfielder
46860,Javi Muñoz,CAM,0,CM,0,0,59.5,0,,statistical_fallback,Midfielder
628,Adrián Bernabé,CAM,0,CM,0,0,59.4,0,,statistical_fallback,Midfielder
125726,F. Bilbija,CAM,0,CM,0,0,59.3,0,,statistical_fallback,Midfielder
104949,Pablo Martínez,CAM,0,CM,0,0,59.3,0,,statistical_fallback,Midfielder
6067,T. Almada,CAM,0,W,0,0,59.3,0,,statistical_fallback,Midfielder
127011,A. Cambiaso,CAM,0,CM,0,0,59.1,0,,statistical_fallback,Midfielder
25638,F. Neuhaus,CAM,0,CM,0,0,58.9,0,,statistical_fallback,Midfielder
1457,H. Mkhitaryan,CAM,0,CM,0,0,58.9,0,,statistical_fallback,Midfielder
541,J. Ekkelenkamp,CAM,0,CM,0,0,58.9,0,,statistical_fallback,Midfielder
182603,Jon Ander Olasagasti,CAM,0,CM,0,0,58.7,0,,statistical_fallback,Midfielder
14,M. Dahoud,CAM,0,CM,0,0,58.5,0,,statistical_fallback,Midfielder
37652,B. van den Boomen,CAM,0,CM,0,0,58.2,0,,statistical_fallback,Midfielder
22261,A. Thomasson,CAM,0,CM,0,0,58.1,0,,statistical_fallback,Midfielder
