league_id,league,season,team_id,team,player_id,name,firstname,lastname,age,nationality,height,weight,photo,position,appearances,lineups,minutes,rating,goals,assists,shots,shots_on_target,passes,key_passes,pass_accuracy,tackles,blocks,interceptions,dribble_attempts,successful_dribbles,duels_total,duels_won,fouls_drawn,fouls_committed,yellow_cards,red_cards
61,Ligue 1,2025,79,Lille,20732,G. Perrin,Gaëtan,Perrin,29.0,France,169,63,https://media.api-sports.io/football/players/20732.png,Attacker,12.0,3.0,346.0,6.71,1.0,0.0,6.0,4.0,122.0,10.0,78.0,12.0,,2.0,18.0,10.0,51.0,23.0,1.0,8.0,2.0,0.0
61,Ligue 1,2025,94,Rennes,22097,A. Nordin,Arnaud Dominique,Nordin,27.0,France,170,70,https://media.api-sports.io/football/players/22097.png,Midfielder,10.0,7.0,573.0,6.77,1.0,3.0,15.0,5.0,158.0,6.0,78.0,9.0,,,15.0,6.0,75.0,35.0,17.0,8.0,1.0,0.0
61,Ligue 1,2025,116,Lens,22173,A. Saint-Maximin,Allan Irénée,Saint-Maximin,28.0,France,173,67,https://media.api-sports.io/football/players/22173.png,Attacker,10.0,2.0,403.0,7.34,3.0,3.0,11.0,3.0,167.0,18.0,86.0,3.0,,1.0,26.0,14.0,60.0,26.0,7.0,3.0,1.0,0.0
61,Ligue 1,2025,108,Auxerre,115588,B. Okoh,Bryan Ikemefuna,Okoh,22.0,Switzerland,189,88,https://media.api-sports.io/football/players/115588.png,Defender,13.0,12.0,1011.0,7.12,3.0,0.0,6.0,3.0,423.0,4.0,84.0,13.0,13.0,27.0,2.0,,82.0,52.0,8.0,13.0,2.0,0.0
61,Ligue 1,2025,96,Toulouse,203428,J. Russell-Rowe,Jacen Rex Orlando,Russell-Rowe,23.0,Canada,183,73,https://media.api-sports.io/football/players/203428.png,Attacker,13.0,5.0,473.0,6.38,1.0,0.0,10.0,4.0,100.0,6.0,72.0,5.0,2.0,1.0,5.0,2.0,52.0,15.0,1.0,9.0,0.0,0.0
61,Ligue 1,2025,95,Strasbourg,291476,D. Fofana,David Datro,Fofana,23.0,Côte d'Ivoire,181,76,https://media.api-sports.io/football/players/291476.png,Attacker,5.0,3.0,180.0,6.42,0.0,0.0,3.0,1.0,33.0,1.0,84.0,2.0,,1.0,4.0,2.0,19.0,6.0,1.0,3.0,0.0,0.0
61,Ligue 1,2025,91,Monaco,301771,S. Adingra,Simon,Adingra,23.0,Côte d'Ivoire,175,68,https://media.api-sports.io/football/players/301771.png,Midfielder,14.0,10.0,868.0,6.71,3.0,2.0,13.0,6.0,346.0,13.0,76.0,11.0,,6.0,69.0,23.0,135.0,46.0,8.0,7.0,0.0,0.0
61,Ligue 1,2025,95,Strasbourg,422780,A. Anselmino,Aaron,Anselmino,20.0,Argentina,186,83,https://media.api-sports.io/football/players/422780.png,Defender,3.0,0.0,24.0,6.7,0.0,0.0,,,8.0,,100.0,,,1.0,,,2.0,2.0,,,0.0,0.0
61,Ligue 1,2025,94,Rennes,456765,H. Do Marcolino,Henrick,Do Marcolino,19.0,France,179,63,https://media.api-sports.io/football/players/456765.png,Attacker,1.0,0.0,2.0,,0.0,0.0,,,3.0,,,1.0,,2.0,,,2.0,2.0,,,0.0,0.0
61,Ligue 1,2025,85,Paris Saint Germain,491087,Pedro Fernández,Pedro,Fernández Sarmiento,17.0,Spain,182,68,https://media.api-sports.io/football/players/491087.png,Midfielder,12.0,7.0,682.0,6.68,1.0,0.0,7.0,3.0,392.0,8.0,91.0,13.0,3.0,8.0,13.0,6.0,67.0,35.0,12.0,8.0,0.0,0.0
61,Ligue 1,2025,95,Strasbourg,585206,Y. Becker,,,17.0,,,,https://media.api-sports.io/football/players/585206.png,Defender,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
61,Ligue 1,2025,94,Rennes,639279,Chibuike Ugochukwu,,,17.0,,,,https://media.api-sports.io/football/players/639279.png,Midfielder,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
61,Ligue 1,2025,106,Stade Brestois 29,639289,Axel Lassus,,,,,,,https://media.api-sports.io/football/players/639289.png,Midfielder,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
61,Ligue 1,2025,77,Angers,639473,Yahia Jlidi,Yahia,Jlidi,17.0,France,,,https://media.api-sports.io/football/players/639473.png,Forward,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
61,Ligue 1,2025,94,Rennes,640701,Junior Ake,,,18.0,,,,https://media.api-sports.io/football/players/640701.png,Defender,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
