league_id,league,season,team_id,team,player_id,name,firstname,lastname,age,nationality,height,weight,photo,position,appearances,lineups,minutes,rating,goals,assists,shots,shots_on_target,passes,key_passes,pass_accuracy,tackles,blocks,interceptions,dribble_attempts,successful_dribbles,duels_total,duels_won,fouls_drawn,fouls_committed,yellow_cards,red_cards
140,La Liga,2025,548,Real Sociedad,31406,U. Sadiq,Umar,Sadiq Mesbah,28.0,Nigeria,192,85,https://media.api-sports.io/football/players/31406.png,Attacker,5.0,2.0,159.0,6.4,0.0,0.0,2.0,,22.0,1.0,63.0,1.0,,,5.0,1.0,26.0,7.0,2.0,2.0,1.0,0.0
140,La Liga,2025,532,Valencia,31406,U. Sadiq,Umar,Sadiq Mesbah,28.0,Nigeria,192,85,https://media.api-sports.io/football/players/31406.png,Attacker,20.0,8.0,902.0,6.73,4.0,2.0,21.0,10.0,157.0,9.0,68.0,7.0,2.0,1.0,30.0,14.0,180.0,62.0,19.0,30.0,3.0,0.0
140,La Liga,2025,536,Sevilla,197196,Ramón Martínez,Ramón,Martínez Gil,23.0,Spain,185,71,https://media.api-sports.io/football/players/197196.png,Defender,2.0,0.0,100.0,6.3,0.0,0.0,,,64.0,,89.0,,,1.0,,,6.0,2.0,1.0,1.0,0.0,0.0
140,La Liga,2025,539,Levante,316517,A. Matturro,Alan Agustín,Matturro Romero,21.0,Uruguay,189,74,https://media.api-sports.io/football/players/316517.png,Defender,19.0,10.0,957.0,6.51,1.0,1.0,4.0,1.0,474.0,4.0,82.0,21.0,6.0,6.0,3.0,,77.0,47.0,10.0,7.0,0.0,1.0
140,La Liga,2025,533,Villarreal,330443,Isma Sierra,Ismael,Sierra Arnal,23.0,Spain,192 cm,83 kg,https://media.api-sports.io/football/players/330443.png,Defender,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,530,Atletico Madrid,338508,I. Kostis,Ilias,Kostis,22.0,Cyprus,188 cm,81 kg,https://media.api-sports.io/football/players/338508.png,Defender,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,548,Real Sociedad,353634,A. Lebarbier,Alex Douma Johan,Lebarbier,21.0,France,,,https://media.api-sports.io/football/players/353634.png,Midfielder,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,542,Alaves,387530,Carlos Ballestero García,Carlos,Ballestero García,21.0,Spain,178 cm,,https://media.api-sports.io/football/players/387530.png,Defender,1.0,0.0,9.0,6.3,0.0,0.0,,,,,,,,,,,1.0,,,,0.0,0.0
140,La Liga,2025,540,Espanyol,388495,Javier Hernandez,Francisco Javier,Hernandez Coarasa,21.0,Spain,182,72,https://media.api-sports.io/football/players/388495.png,Midfielder,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,727,Osasuna,391819,Martin Pedroarena,Martin,Pedroarena Espinal,22.0,Spain,,,https://media.api-sports.io/football/players/391819.png,Attacker,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,531,Athletic Club,407677,Iker Monreal,Iker,Monreal Agundez,20.0,Spain,,,https://media.api-sports.io/football/players/407677.png,Defender,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,533,Villarreal,418188,M. Barry,Mahamoud,Barry,19.0,Mali,178 cm,61 kg,https://media.api-sports.io/football/players/418188.png,Attacker,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,547,Girona,439305,L. Kourouma,Lancinet,Kourouma Kourouma,21.0,Guinea,180 cm,,https://media.api-sports.io/football/players/439305.png,Midfielder,5.0,0.0,64.0,6.3,0.0,0.0,,,13.0,,76.0,,,1.0,,,7.0,1.0,1.0,2.0,0.0,1.0
140,La Liga,2025,547,Girona,442861,A. Andreev,Aleksandar,Metodiev Andreev,19.0,Bulgaria,190 cm,85 kg,https://media.api-sports.io/football/players/442861.png,Goalkeeper,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,543,Real Betis,456619,Manu González,Manuel,González Pallarés,18.0,Spain,189,81,https://media.api-sports.io/football/players/456619.png,Goalkeeper,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,529,Barcelona,543468,Eder Aller,,,18.0,,,,https://media.api-sports.io/football/players/543468.png,Goalkeeper,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,542,Alaves,551461,R. Montero,,,20.0,,,,https://media.api-sports.io/football/players/551461.png,Goalkeeper,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,546,Getafe,551462,M. Aleksandrov,,,21.0,,,,https://media.api-sports.io/football/players/551462.png,Attacker,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,798,Mallorca,551463,J. Olaizola,,,18.0,,,,https://media.api-sports.io/football/players/551463.png,Defender,2.0,0.0,54.0,7.05,0.0,0.0,,,50.0,,86.0,2.0,,,,,5.0,5.0,1.0,,0.0,0.0
140,La Liga,2025,530,Atletico Madrid,31,J. Giménez,José María,Giménez de Vargas,30.0,Uruguay,186,77,https://media.api-sports.io/football/players/31.png,Defender,16.0,13.0,1177.0,6.99,0.0,1.0,12.0,3.0,802.0,1.0,90.0,25.0,12.0,16.0,3.0,2.0,142.0,74.0,10.0,20.0,3.0,0.0
140,La Liga,2025,541,Real Madrid,653,F. Mendy,Ferland Sinna,Mendy,30.0,France,180,73,https://media.api-sports.io/football/players/653.png,Defender,5.0,3.0,206.0,6.53,0.0,0.0,,,158.0,,92.0,1.0,,2.0,3.0,2.0,11.0,6.0,1.0,2.0,0.0,0.0
140,La Liga,2025,538,Celta Vigo,1926,J. Aidoo,Joseph,Aidoo,30.0,Ghana,184,80,https://media.api-sports.io/football/players/1926.png,Defender,8.0,7.0,639.0,6.38,0.0,0.0,2.0,,391.0,,93.0,7.0,2.0,9.0,1.0,1.0,39.0,21.0,1.0,5.0,0.0,0.0
140,La Liga,2025,546,Getafe,47320,Juanmi,Juan Miguel,Jiménez López,32.0,Spain,172,69,https://media.api-sports.io/football/players/47320.png,Attacker,8.0,0.0,176.0,6.61,1.0,0.0,2.0,1.0,37.0,3.0,64.0,2.0,,,2.0,1.0,26.0,9.0,1.0,2.0,0.0,0.0
140,La Liga,2025,798,Mallorca,181210,Nil Torreguitart,Nil,Torreguitart Pérez,24.0,Spain,,,https://media.api-sports.io/football/players/181210.png,Goalkeeper,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,797,Elche,284415,Yago Alonso,Yago,de Santiago Alonso,22.0,Spain,180,73,https://media.api-sports.io/football/players/284415.png,Attacker,9.0,3.0,289.0,6.37,0.0,0.0,,,104.0,2.0,85.0,2.0,,1.0,10.0,4.0,30.0,10.0,2.0,3.0,1.0,0.0
140,La Liga,2025,548,Real Sociedad,349063,Luken Beitia,Luken,Beitia Aguirregomezcorta,21.0,Spain,191 cm,77 kg,https://media.api-sports.io/football/players/349063.png,Defender,2.0,1.0,104.0,6.45,0.0,0.0,,,44.0,,88.0,,,1.0,1.0,1.0,10.0,4.0,1.0,3.0,0.0,0.0
140,La Liga,2025,531,Athletic Club,384267,Ibon Sánchez,Ibon Ignacio,Sánchez Océn,21.0,Spain,,,https://media.api-sports.io/football/players/384267.png,Midfielder,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,547,Girona,429757,Pol Arnau,Pol,Arnau Camacho,21.0,Spain,,,https://media.api-sports.io/football/players/429757.png,Defender,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,546,Getafe,432080,Jorge Benito,Jorge,Benito de Valle Martín,19.0,Spain,182 cm,76 kg,https://media.api-sports.io/football/players/432080.png,Goalkeeper,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,546,Getafe,439616,Yassin Tallal,Yassin,Tallal Amiri,20.0,Morocco,,,https://media.api-sports.io/football/players/439616.png,Attacker,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,547,Girona,439709,Antonio Salguero,Antonio,Salguero Quiñones,20.0,Spain,,,https://media.api-sports.io/football/players/439709.png,Defender,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,546,Getafe,482071,Diego Ferrer,Diego,Ferrer Martínez,18.0,Spain,185 cm,76 kg,https://media.api-sports.io/football/players/482071.png,Goalkeeper,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,547,Girona,553313,Javier Sarasa,,,20.0,,,,https://media.api-sports.io/football/players/553313.png,Attacker,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,542,Alaves,565586,D. Morcillo,,,22.0,,,,https://media.api-sports.io/football/players/565586.png,Attacker,1.0,0.0,9.0,6.2,0.0,0.0,1.0,,4.0,,50.0,,,,,,2.0,1.0,1.0,1.0,0.0,0.0
